CONSUMO DE ENERGÍA  FINAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector: Consumo de energía final, evolución por fuente de energía.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CARBONES,,,,,PRODUCTOS PETROLÍFEROS,,,,,,,,GASES,,,RESIDUOS,,,ENERGIAS RENOVABLES,,,,,,,ENERGÍA ELÉCTRICA,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,
(ktep),Hulla, Antracita y Aglomerados,Coque de coquería,Gas de coquería y horno alto,Alquitranes de Carbón,TOTAL,GLP,Gasolina,Queroseno,Gasóleo,Fueloil,Coque de petróleo,Otros productos petrolíferos,Productos petrolíferos,Gas Natural,Otros Gases,TOTAL,Residuos industriales no renovables,RSU no renovable,Residuos,Solar térmica,Geotermia,Biomasa,Biogás,Biocarburantes,RSU renovable,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1775,95791,1640,42466,672,713928,,4089,96498,2814,30576,8654,4702,2206,67916,14433,26304,,1318,176,93,6647,29520,55886,3949,756776,279,267048,4229,23824,11,94,,11,94,,3,67752,3899,10252,10,149,,,3912,92904,10818,714,52582,262222,,,,
1991,2163,3168,1578,75456,653,987232,,4395,773472,3142,75128,8843,43264,2499,32856,15260,89608,4397,7408,1305,18528,124,72438,35574,5902,4304,697156,250,70418,4555,401336,11,94,,11,94,,3,67752,3657,41304,10,149,,,3671,23956,11062,782,59271,195388,,,
1992,2053,19298,1416,3624,652,635624,,4121,864844,2902,18416,9565,22952,2789,92428,15831,81912,4113,912,1217,30688,149,34394,36568,8991,4703,868072,193,277556,4897,145628,11,94,,11,94,,4,10736,3328,7526,12,34596,,,3345,20592,11246,134,60191,189492,,,
1993,1179,50339,1455,61734,714,296172,,3349,416902,2728,62432,9228,426,2733,44808,16086,47544,4464,6048,1072,11648,91,8012,36404,77524,5009,89266,164,370816,5174,263476,19,5624,,19,5624,,4,10736,3335,98824,14,25636,,,3354,35196,11238,738,59540,601818,,,
1994,888,26514,1700,87688,489,840888,,3078,982908,2949,4188,9480,81372,2904,93036,16812,45132,5182,9152,1453,43232,195,57116,38979,53288,5013,675252,102,925188,5116,60044,23,23524,,23,23524,23,9994,4,10736,3346,16112,13,18176,,,3387,44964,11778,99,62364,791108,,
1995,575,66322,1658,66898,346,587156,,2580,919356,2727,52584,8825,6898,3095,9226,17974,8342,4910,6832,1564,99968,130,17952,39229,83484,6424,130736,68,967828,6493,98564,78,876,,78,876,24,64416,4,10736,3206,39148,21,2532,,,3256,3962,12118,346,63756,68256,,
1996,559,7472,1407,92898,354,82098,,2322,49716,2901,8568,9428,63592,3329,1528,19294,3236,3289,7088,1706,36928,98,42696,40047,56552,6891,796656,37,890396,6929,687052,78,876,,78,876,25,28892,4,10736,3225,28056,21,27708,,,3275,95392,12657,652,65311,443252,,
1997,675,3984,1308,67176,383,29788,,2367,948,2738,51064,9344,4828,3527,1954,19638,315,3196,992,2492,68992,93,42,41030,71296,7741,719288,28,541376,7770,260664,81,192,,81,192,22,82928,4,10736,3238,79664,22,61436,,,3288,34764,13676,408,68213,930744,,
1998,723,94608,1042,74408,378,54576,,2145,23592,2805,51792,9482,10324,3752,7336,21672,48504,3098,6688,2368,13184,93,42,43272,4002,8701,659468,42,167304,8743,826772,81,192,,81,192,25,24116,4,10736,3375,98724,22,73376,,,3428,6952,14204,878,71875,602412,,
1999,743,24651,959,24766,225,21228,,1927,70645,2783,54832,9289,3344,4095,3792,23340,732,2467,2816,2074,6944,92,401,44142,6988,9631,59516,29,76642,9660,825936,81,192,,81,192,27,96348,5,32524,3392,9898,21,9696,,,3448,24812,15243,672,74503,714386,,
2000,873,40696,849,90114,235,951116,,1959,259216,2697,86688,8865,97536,4385,63364,25247,94192,2321,136,2441,4912,12,228,45972,273,11816,881884,85,602636,11902,48452,,,,31,11564,5,373,3335,89272,25,74,71,76,,3469,21536,16207,474,79510,706096,,,
