PARQUE DE VEHÍCULOS DE GASOLINA,,,,,,,
,,,,,,,
AÑOS,"Camiones y
furgonetas",Autobuses,Turismos,Motocicletas,"Tractores
Industriales","Otros
Vehículos",TOTAL
1990,842860,934,10774894,1070120,1247,107741,12797796
1991,879324,954,11219624,1171201,1356,119820,13392279
1992,910925,958,11640667,1248792,1434,131123,13933899
1993,922143,943,11838632,1275732,1455,138688,14177593
1994,919518,934,11927546,1285019,1511,148693,14283221
1995,916576,940,12153133,1298442,1605,160970,14531666
1996,905921,927,12362457,1305558,1694,172828,14749385
1997,891059,940,12490612,1323774,1845,188187,14896417
1998,878138,934,12681210,1358657,2050,207853,15128842
1999,858454,930,12802978,1401332,2233,230227,15296154
2000,831384,964,12746971,1443257,2367,255761,15280704
2001,812421,988,12795735,1481097,2453,282760,15375454
2002,789143,1036,12728713,1514900,2486,311003,15347281
2003,749476,1018,12095876,1511312,2410,343397,14703489
2004,737024,1006,12035097,1609816,2426,393372,14778741
2005,715460,961,11815652,1803406,2396,446942,14784817
2006,696698,937,11667433,2055459,2260,112705,14535492
2007,676058,927,11500323,2308619,2179,126627,14614733
2008,653143,876,11344609,2497896,2008,128450,14626982
2009,625434,839,10900655,2603477,1860,129557,14261822
2010,602843,817,10677003,2703756,1730,129546,14115695
2011,582725,783,10510112,2793794,1661,129245,14018320
2012,568587,743,10305113,2845944,1523,128108,13850018
2013,541751,710,9956308,2883796,1419,126922,13510906
2014,515215,243,9695703,2964749,0,125755,13301665
