Año,Gasolina,Gasoil
1990,12797796,2898919
1991,13392279,3136117
1992,13933899,3413304
1993,14177593,3632304
1994,14283221,3935703
1995,14531666,4315579
1996,14749385,4792719
1997,14896417,5389991
1998,15128842,6177651
1999,15296154,7115040
2000,15280704,8003511
2001,15375454,8874417
2002,15347281,9718451
2003,14703489,10465963
2004,14778741,11653900
2005,14784817,12872459
2006,14535492,14124241
2007,14614733,15283326
2008,14626982,15906979
2009,14261822,16155934
2010,14115695,16528513
2011,14018320,16806305
2012,13850018,16909000
2013,13510906,16959627
2014,13301665,17216298
