date,NO2,CO,PART,O3,SO2
2003-01-01T00:10:00,60,803,22,7,12
2003-01-01T00:20:00,55,822,22,10,15
2003-01-01T00:30:00,59,1339,39,7,12
2003-01-01T00:40:00,54,1877,52,6,12
2003-01-01T00:50:00,59,2006,71,6,12
2003-01-01T01:00:00,60,2069,80,6,12
2003-01-01T01:10:00,62,1583,77,5,12
2003-01-01T01:20:00,62,1424,69,5,10
2003-01-01T01:30:00,58,1790,66,5,11
2003-01-01T01:40:00,63,1903,66,5,12
2003-01-01T01:50:00,70,2562,65,6,13
2003-01-01T02:00:00,61,1416,68,5,11
2003-01-01T02:10:00,54,1630,66,5,10
2003-01-01T02:20:00,58,1717,64,5,10
2003-01-01T02:30:00,58,1918,64,5,10
2003-01-01T02:40:00,54,1119,61,6,10
2003-01-01T02:50:00,56,1501,58,7,12
2003-01-01T03:00:00,52,1165,57,5,10
2003-01-01T03:10:00,54,1014,51,5,9
2003-01-01T03:20:00,39,1131,44,11,10
2003-01-01T03:30:00,38,969,43,9,9
2003-01-01T03:40:00,41,733,42,6,9
2003-01-01T03:50:00,41,763,35,6,9
2003-01-01T04:00:00,45,958,33,5,8
2003-01-01T04:10:00,46,992,36,5,7
2003-01-01T04:20:00,48,1286,31,5,7
2003-01-01T04:30:00,49,1414,35,5,8
2003-01-01T04:40:00,45,876,44,6,8
2003-01-01T04:50:00,44,858,40,8,9
2003-01-01T05:00:00,44,717,38,6,10
2003-01-01T05:10:00,43,576,36,6,10
2003-01-01T05:20:00,47,463,32,5,11
2003-01-01T05:30:00,49,611,36,5,10
2003-01-01T05:40:00,50,655,36,5,10
2003-01-01T05:50:00,50,754,26,5,10
2003-01-01T06:00:00,48,876,23,5,9
2003-01-01T06:10:00,49,774,11,5,10
2003-01-01T06:20:00,53,947,5,5,11
2003-01-01T06:30:00,53,1375,15,5,11
2003-01-01T06:40:00,54,1167,23,5,10
2003-01-01T06:50:00,52,803,23,5,11
2003-01-01T07:00:00,46,719,28,5,9
2003-01-01T07:10:00,46,621,26,5,10
2003-01-01T07:20:00,49,801,12,5,10
2003-01-01T07:30:00,52,1083,6,5,10
2003-01-01T07:40:00,55,1326,16,5,9
2003-01-01T07:50:00,52,1629,26,5,10
2003-01-01T08:00:00,45,1541,35,5,8
2003-01-01T08:10:00,59,1003,53,5,9
2003-01-01T08:20:00,51,738,50,5,10
2003-01-01T08:30:00,43,685,38,5,10
2003-01-01T08:40:00,43,648,34,5,10
2003-01-01T08:50:00,41,555,29,5,10
2003-01-01T09:00:00,42,678,24,5,9
2003-01-01T09:10:00,41,1078,22,5,8
2003-01-01T09:20:00,42,1352,17,5,8
2003-01-01T09:30:00,44,1313,17,5,8
2003-01-01T09:40:00,50,1222,31,5,9
2003-01-01T09:50:00,46,971,37,5,11
2003-01-01T10:00:00,46,826,48,5,12
2003-01-01T10:10:00,54,838,45,5,12
2003-01-01T10:20:00,51,1037,29,6,12
2003-01-01T10:30:00,56,1299,12,7,10
2003-01-01T10:40:00,55,1229,14,7,10
2003-01-01T10:50:00,56,1233,16,8,10
2003-01-01T11:00:00,59,1263,36,9,12
2003-01-01T11:10:00,65,1205,57,9,12
2003-01-01T11:20:00,66,1277,57,10,12
2003-01-01T11:30:00,77,1381,43,9,14
2003-01-01T11:40:00,74,1339,32,10,14
2003-01-01T11:50:00,74,1269,27,11,15
2003-01-01T12:00:00,75,1232,28,13,13
2003-01-01T12:10:00,81,1320,41,12,13
2003-01-01T12:20:00,86,1364,49,12,14
2003-01-01T12:30:00,92,1670,43,14,15
2003-01-01T12:40:00,97,1811,38,14,15
2003-01-01T12:50:00,93,1531,48,18,16
2003-01-01T13:00:00,97,1545,56,19,16
2003-01-01T13:10:00,100,1489,63,20,17
2003-01-01T13:20:00,88,1411,71,28,19
2003-01-01T13:30:00,87,1544,63,26,17
2003-01-01T13:40:00,91,1289,49,28,18
2003-01-01T13:50:00,106,1507,44,25,18
2003-01-01T14:00:00,112,1846,44,21,19
2003-01-01T14:10:00,124,2220,50,16,21
2003-01-01T14:20:00,122,2431,60,15,21
2003-01-01T14:30:00,104,1549,65,18,18
2003-01-01T14:40:00,89,1410,56,24,17
2003-01-01T14:50:00,81,1261,40,22,19
2003-01-01T15:00:00,97,1437,19,25,19
2003-01-01T15:10:00,109,1635,11,23,20
