,CO,FECHA-HORA,NO2,O3,PART,SO2
1,177,01/02/17-00:10,15,60,7,12
2,177,01/02/17-00:20,12,61,6,12
3,248,01/02/17-00:30,14,61,5,11
4,179,01/02/17-00:40,15,61,5,10
5,223,01/02/17-00:50,14,60,5,11
6,134,01/02/17-01:00,13,62,5,9
7,154,01/02/17-01:10,15,59,5,10
8,125,01/02/17-01:20,12,62,5,11
9,125,01/02/17-01:30,11,62,5,10
10,228,01/02/17-01:40,22,42,10,11
11,307,01/02/17-01:50,46,20,16,11
12,258,01/02/17-02:00,43,34,11,10
13,250,01/02/17-02:10,29,41,9,10
14,246,01/02/17-02:20,29,44,8,10
15,125,01/02/17-02:30,11,58,6,10
16,152,01/02/17-02:40,13,54,6,11
17,125,01/02/17-02:50,10,56,5,10
18,125,01/02/17-03:00,9,58,5,10
19,125,01/02/17-03:10,9,57,5,10
20,125,01/02/17-03:20,13,53,5,9
21,125,01/02/17-03:30,11,55,5,10
22,125,01/02/17-03:40,13,53,5,10
23,125,01/02/17-03:50,10,57,5,9
24,125,01/02/17-04:00,13,55,5,10
25,125,01/02/17-04:10,12,54,5,10
26,125,01/02/17-04:20,11,58,5,11
27,125,01/02/17-04:30,9,59,5,10
28,125,01/02/17-04:40,11,57,5,10
29,125,01/02/17-04:50,12,55,5,11
30,125,01/02/17-05:00,13,53,6,9
31,125,01/02/17-05:10,15,52,6,10
32,125,01/02/17-05:20,14,53,6,10
33,125,01/02/17-05:30,9,57,6,9
34,125,01/02/17-05:40,11,59,6,10
35,125,01/02/17-05:50,10,58,6,9
36,125,01/02/17-06:00,11,56,6,10
37,125,01/02/17-06:10,13,54,6,10
38,125,01/02/17-06:20,13,53,6,10
39,125,01/02/17-06:30,17,51,6,10
40,125,01/02/17-06:40,15,51,6,10
41,125,01/02/17-06:50,16,50,7,9
42,202,01/02/17-07:00,28,33,7,9
43,281,01/02/17-07:10,46,14,11,10
44,250,01/02/17-07:20,48,20,9,9
45,250,01/02/17-07:30,42,19,8,9
46,259,01/02/17-07:40,60,8,10,10
47,276,01/02/17-07:50,56,14,11,11
48,359,01/02/17-08:00,58,12,11,9
49,375,01/02/17-08:10,61,13,11,10
50,365,01/02/17-08:20,61,12,11,12
51,270,01/02/17-08:30,59,14,12,11
52,334,01/02/17-08:40,60,15,20,11
53,370,01/02/17-08:50,61,14,24,13
54,375,01/02/17-09:00,62,13,29,11
55,426,01/02/17-09:10,65,14,27,11
56,328,01/02/17-09:20,59,23,24,12
57,250,01/02/17-09:30,44,34,19,11
58,269,01/02/17-09:40,49,25,22,10
59,263,01/02/17-09:50,53,28,20,11
60,250,01/02/17-10:00,45,35,20,14
61,250,01/02/17-10:10,42,36,20,13
62,250,01/02/17-10:20,37,44,17,11
63,251,01/02/17-10:30,45,39,19,12
64,505,01/02/17-10:40,80,18,39,15
65,777,01/02/17-10:50,113,12,62,15
66,727,01/02/17-11:00,107,15,53,16
67,605,01/02/17-11:10,98,18,47,14
68,453,01/02/17-11:20,76,24,39,15
69,375,01/02/17-11:30,69,22,44,16
70,375,01/02/17-11:40,71,20,46,17
71,375,01/02/17-11:50,86,12,43,40
72,375,01/02/17-12:00,80,17,42,32
73,276,01/02/17-12:10,68,23,37,23
74,258,01/02/17-12:20,72,19,40,26
75,280,01/02/17-12:30,85,11,41,57
76,250,01/02/17-12:40,75,17,32,58
77,185,01/02/17-12:50,40,55,29,22
78,131,01/02/17-13:00,31,67,25,16
79,209,01/02/17-13:10,28,68,24,14
80,125,01/02/17-13:20,26,75,19,13
